date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty,accum_dist,atr,cmo,cmf,cci,ema_fast,ema_slow,hma_fast,hma_slow,mfi,obv,sma,percent_k,percent_d,smoothed_ma,true_range,ulti_osc,volatility,rsi,williams
2018-01-22 22:00:00,153.55,155.099,155.246,153.47,153.703,155.205,155.268,153.518,309003,38460628.521988146,3.0307611900794083,67.91089704997043,0.38515622377421066,6.618846305371968,153.97684849342522,153.37161414812203,154.56170000000003,154.14067434640523,74.33729964716571,-5420358.0,153.1713,1.0,0.8624051069703246,152.9892807085704,-57.64292549165224,26.365638456963715,0.7804282746827835,68.3469533777247,-57.64292549165224
2018-01-23 22:00:00,155.099,154.366,155.39,153.723,155.205,154.487,155.417,153.746,359437,38419974.06776911,3.0080850710714677,35.28024668964269,0.3447764310170416,4.607441973844319,154.15488404964123,153.53314564387315,154.75386851851854,154.50750073529412,75.71170442920236,-5779795.0,153.5507,0.7439372325249582,0.851412479854765,153.13905263771335,-58.668361444750715,26.990486813153584,1.004118633476247,61.08373289652043,-58.668361444750715
2018-01-24 22:00:00,154.366,155.454,155.712,154.119,154.487,155.599,155.738,154.143,454151,38794968.96870954,3.027076563964319,45.62633343492849,0.35209306605453455,5.755183459888397,154.58132321731287,153.81519882011068,155.21019074074079,154.9295044934641,76.0583029807749,-5325644.0,153.85639999999998,1.0,0.9146457441749861,153.385047373942,-57.08022108284896,30.531019574810358,0.897630369344775,67.1001954608719,-57.08022108284896
2018-01-25 22:00:00,155.454,154.623,156.08,154.419,155.599,154.768,156.104,154.441,648650,38401410.42992421,3.044168907567885,30.617823947512534,0.17894377607301354,4.550971710870218,154.704140883624,153.95040623538577,155.36148333333333,155.22332034313726,61.131538776832706,-5974294.0,154.0727,0.7401500938086322,0.8280291087778635,153.5233426365478,-58.267041802939204,26.659282367498843,0.9502521242363331,59.46647946432797,-58.267041802939204
2018-01-26 22:00:00,154.623,153.832,155.849,153.418,154.768,153.983,155.874,153.444,532962,38104881.778072365,3.0595520168110943,19.83947830448954,0.0626987370563531,1.0799771704754972,154.5424098045916,153.9627957856101,154.8456296296296,155.2558633169935,50.02129222175734,-6507256.0,154.2182,0.49468417761100814,0.7449447571398801,153.569308372893,-59.38816606920978,27.67043826438706,1.104520798566355,53.12308623128758,-59.38816606920978
2018-01-28 22:00:00,153.832,153.582,153.856,153.537,153.983,153.749,153.931,153.655,180,38104824.38676801,2.9560968151299827,-4.207807990278221,0.10361573230495404,-2.031600754991368,154.34249008688397,153.95882887263144,154.2015111111111,155.08829795751635,38.65518289832277,-6507436.0,154.353,0.0864197530864123,0.4404180081686842,153.5872775356037,-59.72236107342294,26.279677198001693,1.4791655069317482,51.31025541900351,-59.72236107342294
2018-01-29 22:00:00,153.582,153.321,154.015,152.814,153.749,153.375,154.04,152.835,404424,38062871.689672574,2.8828871336169835,-16.205895830151327,0.003645227656875669,-3.441497132441663,154.120654328908,153.94160156942763,153.53501296296295,154.75089673202615,32.70522597594919,-6911860.0,154.28789999999998,0.0,0.19370131023247347,153.56604978204334,-60.25650180665247,26.79978325621994,1.35241499490691,48.37842442299453,-60.25650180665247
2018-01-30 22:00:00,153.321,153.84,154.08,151.963,153.375,153.944,154.106,151.987,432552,38429285.48863435,2.8169984202552842,5.916213623280727,0.036462585807955986,-3.3751944001498764,154.08967895998921,154.0015667236841,153.3513425925926,154.4258609477124,20.96462655768572,-6479308.0,154.2387,0.25584532374100316,0.11408835894247182,153.603844803839,-59.44386523657867,29.67817281077852,1.3426107569404726,52.925370661640834,-59.44386523657867
2018-01-31 22:00:00,153.84,154.917,155.345,153.554,153.944,155.037,155.363,153.576,498411,38745847.5955174,2.7576985782297547,18.48157384316985,0.15702927908296246,1.4902834576837143,154.2944219957556,154.16918647890577,153.95901851851855,154.29101168300653,32.88476402424368,-5980897.0,154.385,0.7473021582733875,0.33438249400479686,153.7471603234551,-57.882860366471945,33.89048045793861,1.3451159437572102,60.37483482368619,-57.882860366471945
2018-02-01 22:00:00,154.917,155.976,156.439,154.872,155.037,156.129,156.46,154.968,419287,38979097.06602677,2.7573287204067785,13.5722679200937,0.19837694519654145,5.405200700657222,154.75852776444992,154.4644475901779,155.11134074074076,154.45625629084967,35.4007027658386,-5561610.0,154.62759999999997,1.0,0.6677158273381302,153.98534429110956,-56.32328368014397,32.08452410435179,1.1369786220476499,66.29567950873866,-56.32328368014397
2018-02-02 22:00:00,155.976,155.498,156.599,155.403,156.129,155.66,156.626,155.437,480166,38679043.79605199,2.7569958483661,17.88382375362109,0.051632131204489104,5.129891559758272,154.96095098626895,154.66259915752897,155.9345740740741,154.7447343954248,42.117461266124884,-6041776.0,154.6731,0.8297022512708803,0.8590014698480893,154.1528098619986,-56.99310187234894,29.915761846372025,1.082967645272534,61.88310193808266,-56.99310187234894
